date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-05-13,US_PA_42001,0.0,0.0,,,25114.0,364.0,,
2022-05-13,US_PA_42003,0.0,0.0,,,271427.0,3323.0,,
2022-05-13,US_PA_42005,0.0,0.0,,,15397.0,343.0,,
2022-05-13,US_PA_42007,0.0,0.0,,,40744.0,745.0,,
2022-05-13,US_PA_42009,0.0,0.0,,,11044.0,275.0,,
2022-05-13,US_PA_42011,0.0,0.0,,,103652.0,1595.0,,
2022-05-13,US_PA_42013,0.0,0.0,,,29924.0,616.0,,
2022-05-13,US_PA_42015,0.0,0.0,,,16219.0,207.0,,
2022-05-13,US_PA_42017,0.0,0.0,,,126504.0,1905.0,,
2022-05-13,US_PA_42019,0.0,0.0,,,45173.0,743.0,,
2022-05-13,US_PA_42021,0.0,0.0,,,34936.0,732.0,,
2022-05-13,US_PA_42023,0.0,0.0,,,822.0,21.0,,
2022-05-13,US_PA_42025,0.0,0.0,,,16188.0,294.0,,
2022-05-13,US_PA_42027,0.0,0.0,,,36016.0,351.0,,
2022-05-13,US_PA_42029,0.0,0.0,,,94968.0,1164.0,,
2022-05-13,US_PA_42031,0.0,0.0,,,8323.0,202.0,,
2022-05-13,US_PA_42033,0.0,0.0,,,19533.0,348.0,,
2022-05-13,US_PA_42035,0.0,0.0,,,9157.0,127.0,,
2022-05-13,US_PA_42037,0.0,0.0,,,15476.0,246.0,,
